,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
SBSC Contract 6,Concession,,,,,,,,,,,,,,,,,,,,,,,,,297114,513127,405273,419701,324502,219004,218243,302385,511567,410129
SBSC Contract 6,Employee,,,,,,,,,,,,,,,,,,,,,,,,,26035,27077,25204,27235,27663,24942,24430,24931,26559,24387
SBSC Contract 6,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,6994,7691,6906,7011,7436,6700,6718,6839,7546,6569
SBSC Contract 6,School Student,,,,,,,,,,,,,,,,,,,,,,,,,64031,149272,130973,84101,137746,62450,11694,161665,177516,95558
SBSC Contract 6,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,800753,847959,790670,807285,840984,784972,761496,787970,849506,787237
SBSC Contract 6,On Demand,,,,,,,,,,,,,,,,,,,,,,,,,1521,2570,2497,3000,3156,3844,4270,5527,6960,
SBSC Contract 6,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,7,,1,22,1
SBSC Contract 6,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,21,35,27,53,55,31,70,73,117,98
Sydney Metro Contract 7,Adult,1615630,1765221,1623332,1608819,1726702,1520498,1482216,1598062,1851181,1484682,1831342,1622887,1658338,1793093,1641830,1718746,1807674,1555589,1600683,1677417,1835385,1655426,1923974,1739114,1820352,1958776,1783126,1984082,2045621,1742609,1824645,1927853,2121425,1852062
Sydney Metro Contract 7,Adult Single Bus Trip 1,,7796,5791,5919,6279,5702,5815,4661,5798,4801,5225,4525,4694,4585,4616,4714,4713,5074,4036,3414,4228,2580,1332,1314,1322,1210,1187,1016,1262,746,728,394,459,144
Sydney Metro Contract 7,Adult Single Bus Trip 2,,5332,3832,4302,4355,4267,3978,3297,3823,3568,3665,3297,3318,3144,3032,3318,3144,3545,2708,2524,2981,1796,919,905,964,925,839,753,997,688,559,380,395,130
Sydney Metro Contract 7,Adult Single Bus Trip 3,,2433,1573,1763,1795,1929,1708,1387,1671,1528,1458,1471,1510,1268,1239,1337,1204,1548,1127,945,1253,732,370,359,326,345,307,316,385,277,266,156,174,65
Sydney Metro Contract 7,Child/Youth,128451,109290,121985,125165,119879,137529,148314,120764,126221,138672,114682,108564,144479,113175,127230,128015,120335,142149,161300,126384,127913,143206,114476,111480,156120,122100,116670,151484,129800,149715,175767,138602,142599,151815
Sydney Metro Contract 7,Child/Youth Single Bus Trip 1,,2580,1555,1520,1291,1524,1643,820,953,1300,877,714,1176,652,804,753,637,953,919,429,541,477,166,183,304,142,199,200,201,121,148,61,63,27
Sydney Metro Contract 7,Child/Youth Single Bus Trip 2,,1712,1172,1144,992,1250,1271,655,839,1102,678,651,973,568,683,673,545,872,783,328,516,425,171,132,246,145,153,163,126,101,120,55,54,15
Sydney Metro Contract 7,Child/Youth Single Bus Trip 3,,439,297,302,264,329,368,219,220,261,183,172,266,155,157,152,126,220,197,89,111,110,43,43,51,35,30,39,30,48,35,16,15,7
Sydney Metro Contract 7,Concession,140995,196428,154998,153843,132648,105962,96696,121569,213253,145320,192197,137650,129483,198785,154215,160979,139695,109913,105384,124627,203544,157590,193257,143692,134425,205497,160149,178982,150245,117299,111408,142707,225748,175178
Sydney Metro Contract 7,Employee,9382,10956,10284,10304,10879,9644,9235,9796,11223,8995,11314,9925,10426,11193,10041,10280,10905,9699,9652,10552,10848,10021,11757,10485,11031,11601,10792,11556,11806,10391,10381,11328,12328,10731
Sydney Metro Contract 7,Free Travel,2229,2910,2894,2861,3274,3224,2898,3114,3671,3192,3919,3203,3203,3829,3482,3509,3752,3343,3191,3556,3672,3143,3580,3382,3254,3858,3617,3996,3840,3493,3450,3723,3925,3485
Sydney Metro Contract 7,School Student,93651,206633,150923,136177,183438,72876,13550,176614,200648,70419,203867,155754,90467,194843,128674,129911,166889,63226,15338,182224,188698,79586,205839,177707,89462,211198,180431,118271,199061,92569,17960,217183,244722,125519
Sydney Metro Contract 7,Senior/Pensioner,337392,371269,357494,363759,386734,354792,329316,346168,383812,329615,387987,344678,357246,374768,347430,357664,376180,342884,337525,346531,375753,340900,384081,349693,370866,390498,360282,375496,392540,368957,355381,374719,402044,368423
Sydney Metro Contract 7,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,1,1,,,,,,,7,1,,,1,,,,1,23,29,9
Sydney Metro Contract 7,Day Pass without SAF,,,,,,,,,,,,,,6,17,11,,,,,,24,40,36,49,49,37,65,62,52,90,81,139,85
Sydney Metro Contract 8,Adult,1378464,1481277,1414288,1422771,1531241,1402114,1396014,1451894,1625199,1322167,1589276,1399184,1433325,1513343,1432577,1498725,1580520,1492455,1545127,1606736,1729743,1563763,1748320,1581014,1631091,1708131,1604016,1708870,1791653,1629689,1703377,1744439,1868998,1663540
Sydney Metro Contract 8,Adult Single Bus Trip 1,,16915,13511,15234,17099,19044,18805,14463,14948,13311,12984,11549,12167,11531,12008,11847,11495,13400,10155,8422,10320,10273,9480,7593,8101,6721,6706,5814,7485,4966,4199,2948,3008,939
Sydney Metro Contract 8,Adult Single Bus Trip 2,,12476,9580,11191,12060,14069,13384,9842,10268,9051,9176,7692,8228,7425,7665,7845,7809,8431,5986,4674,6306,5973,5145,4160,4393,3745,3847,3278,4556,3198,2813,1841,1800,566
Sydney Metro Contract 8,Adult Single Bus Trip 3,,9117,6854,7762,8412,9885,8967,6994,7342,6317,6407,5714,5359,5051,4875,4929,4642,3778,2528,1962,2459,2289,1963,1585,1657,1283,1378,1263,1611,1323,1082,720,722,256
Sydney Metro Contract 8,Child/Youth,134349,116247,135703,144280,130829,175222,194384,130107,133052,160088,121374,122614,163053,122519,151510,147590,131158,207101,233138,153617,164998,203965,143412,144440,200644,143667,152139,190799,157419,220156,261796,169104,177396,209836
Sydney Metro Contract 8,Child/Youth Single Bus Trip 1,,4804,3948,4392,3920,6131,7538,2943,3184,5153,2682,2848,4750,2465,3875,3878,2668,4639,4529,1469,2439,3967,1934,1909,3250,1590,1880,2013,1839,1810,2124,846,794,275
Sydney Metro Contract 8,Child/Youth Single Bus Trip 2,,3614,2972,3398,2588,4849,5692,2206,2225,3570,1916,2131,3406,1824,2950,2739,1773,3182,2851,981,1591,2492,1271,1130,1860,935,1090,1197,1106,1140,1339,519,533,170
Sydney Metro Contract 8,Child/Youth Single Bus Trip 3,,1497,1328,1398,1113,2143,2481,1034,1165,1586,944,1038,1765,848,1384,1227,896,1132,986,354,579,695,367,336,544,258,336,340,352,407,428,160,133,51
Sydney Metro Contract 8,Concession,105937,113289,93371,92481,82857,72425,67831,77032,125155,93117,116551,84566,78570,119114,95579,97170,85579,76324,72030,82425,131718,107053,127967,97335,87870,132489,107824,106324,93274,78009,75351,90816,139800,114737
Sydney Metro Contract 8,Employee,10210,11720,11260,10914,12121,10820,10036,10782,12365,10281,12849,11000,11323,11717,11006,10959,11675,12219,11662,12577,13654,12964,14572,13397,14005,14785,13431,13802,14418,13268,13803,13605,14747,13035
Sydney Metro Contract 8,Free Travel,2346,3289,3288,3248,3575,3413,2890,3161,3509,2982,3712,3222,3227,3591,3549,3724,3802,3462,3219,3687,3803,3278,3779,3300,3494,3538,3302,3657,3847,3527,3397,3690,3775,3484
Sydney Metro Contract 8,School Student,91736,210146,151725,139361,182003,63503,11814,182160,222316,76683,224780,166637,91596,204063,137703,141035,178231,63368,13488,196148,216600,89978,230038,190374,89426,215577,183596,117941,195805,82512,16220,215980,232636,117194
Sydney Metro Contract 8,Senior/Pensioner,248198,270937,264855,272806,289479,272046,254198,255178,285878,251841,285568,250600,261186,273252,260525,269106,287840,279818,273803,280867,303994,285486,311518,277466,292942,304837,288686,302105,319820,310074,300255,305386,326129,306114
Sydney Metro Contract 8,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,4,,,,,,3,,3,,,,,2,1,4,2,,,3
Sydney Metro Contract 8,Day Pass without SAF,,,,,,,,,,,,,,,8,,,,,,1,12,20,11,13,7,4,25,12,24,53,31,33,13
Sydney Metro Contract 9,Adult,4376415,4713740,4470762,4626745,4844537,4521730,4515985,4473069,4877665,4027845,4546395,3940423,4171010,4441330,4221831,4533632,4586715,4317876,4470938,4418599,4975155,4443395,4450372,3857967,3784091,3996848,3780960,4230417,4348716,3961022,4181004,4248036,4591950,4087039
Sydney Metro Contract 9,Adult Single Bus Trip 1,,21263,16869,19287,20575,22417,22633,18347,18308,15255,14840,12956,14164,13514,13286,14980,14275,17703,14011,11892,16219,14768,13215,11661,11916,10536,9746,8318,10276,8100,7149,4543,4782,1702
Sydney Metro Contract 9,Adult Single Bus Trip 2,,15272,11441,13870,15224,17859,18332,13773,13631,12053,10557,9291,10325,9666,9450,11142,10705,13129,9749,8192,10756,9536,7877,6822,7684,6820,6102,4781,6378,5346,4656,2689,2577,841
Sydney Metro Contract 9,Adult Single Bus Trip 3,,1757,1388,1417,1672,2015,1851,1489,1358,1111,1121,914,1007,1000,1006,1025,1043,1270,952,803,1032,916,755,701,595,550,477,429,641,395,328,162,125,49
Sydney Metro Contract 9,Child/Youth,208559,162861,193811,208250,179124,254422,303071,186973,190071,220170,152934,153495,228580,162546,199559,196335,167175,251592,297023,195538,206710,237543,149065,143711,208301,146789,149866,196084,162071,225064,289468,192773,184782,217975
Sydney Metro Contract 9,Child/Youth Single Bus Trip 1,,4605,3156,3541,2872,3915,4406,2119,2109,2803,1747,1729,2629,1497,1903,1947,1399,2427,2099,996,1381,2089,1167,1192,1699,984,982,1033,953,1008,1033,342,390,150
Sydney Metro Contract 9,Child/Youth Single Bus Trip 2,,2234,1616,1673,1377,2120,2357,1114,1040,1624,1022,968,1508,928,1110,1047,764,1482,1207,597,751,1128,663,644,1111,689,542,531,511,633,511,215,187,87
Sydney Metro Contract 9,Child/Youth Single Bus Trip 3,,185,204,216,160,275,249,124,131,162,104,105,134,116,111,95,86,149,133,60,83,97,60,48,80,51,49,47,63,50,35,10,11,5
Sydney Metro Contract 9,Concession,400008,742957,584827,579125,402512,269739,266307,355399,742207,485584,659665,369357,353327,674727,513857,527508,361080,241878,241553,334576,680976,524471,599075,338131,318925,590633,440820,468530,314144,201406,214369,381440,602591,503197
Sydney Metro Contract 9,Employee,22441,25072,25067,25676,26815,24678,23704,23871,25023,21097,24727,21676,22261,23963,22434,22999,23561,23068,22588,22621,25033,22581,23442,20688,21029,21118,19167,20773,21081,19590,21420,20603,21685,19802
Sydney Metro Contract 9,Free Travel,4861,6214,6423,6624,6961,6569,6039,6434,7123,6086,7097,6370,6632,6985,6614,6733,6965,6424,6361,6834,7706,6944,7329,6603,6690,7300,6735,7330,7203,6597,6521,6843,7219,6311
Sydney Metro Contract 9,School Student,55279,117948,85923,73922,98117,43798,7647,92148,100379,34793,103034,77588,42997,94833,66347,65378,85244,36637,8447,90931,93183,40016,99202,77439,35412,84748,75008,49003,83375,40739,8811,91119,95033,48734
Sydney Metro Contract 9,Senior/Pensioner,795776,850777,842193,873683,905139,854703,815752,802867,844271,744820,838307,741271,774154,792656,758946,799779,814071,785883,778581,771031,838621,776252,776675,683961,680611,702097,663368,739818,752380,725301,716345,713535,765227,718314
Sydney Metro Contract 9,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,,,,,,,,2,,1,1,,,1,,3,1,,10,11
Sydney Metro Contract 9,Day Pass without SAF,,,,,,,,,,,,,,2,7,16,,,,,1,8,29,12,9,12,19,12,41,53,61,45,70,60
Sydney Metro Contract 10,Adult,234451,250395,239287,236918,256027,227456,216547,240760,291308,236946,302048,268909,268804,286771,272822,283985,294327,254984,254654,271544,309397,279281,324698,285549,298326,318719,294307,310159,320409,271779,275888,295751,325870,287377
Sydney Metro Contract 10,Adult Single Bus Trip 1,,8886,7924,7248,7207,7119,6237,6054,6457,5935,6321,5354,5682,5023,5140,4858,5037,4815,4972,4709,5203,4748,4811,3973,4146,4069,3454,3839,3674,3440,3708,3435,3532,3375
Sydney Metro Contract 10,Adult Single Bus Trip 2,,3584,3089,2601,2738,2517,2241,2286,2206,2162,2073,1780,2059,1837,1697,1636,1571,1750,1586,1515,1774,1508,1476,1218,1392,1314,1263,1274,1211,1200,1242,1264,1264,1173
Sydney Metro Contract 10,Adult Single Bus Trip 3,,552,447,339,393,375,331,249,288,242,277,223,250,228,184,201,194,246,180,189,196,172,150,142,174,180,123,159,111,145,125,103,132,121
Sydney Metro Contract 10,Child/Youth,41035,50143,50009,49637,51113,49392,44616,52278,53951,46402,50417,44977,53443,48426,52017,49977,48250,48576,50281,50213,51226,49010,51673,44757,53034,50573,48678,53558,51235,47870,49444,57487,58701,51094
Sydney Metro Contract 10,Child/Youth Single Bus Trip 1,,4513,3920,3237,2646,3113,2930,1684,1698,2540,1648,1494,2476,1402,1913,1564,1309,2002,2327,1187,1120,1731,1087,900,1520,970,998,1606,1051,1274,1823,915,921,1349
Sydney Metro Contract 10,Child/Youth Single Bus Trip 2,,1564,1524,1250,923,1232,1313,630,623,1061,629,664,1120,610,1007,802,576,978,1145,548,565,880,434,374,714,452,447,746,394,629,963,385,418,660
Sydney Metro Contract 10,Child/Youth Single Bus Trip 3,,194,210,210,113,260,229,60,63,154,63,76,155,51,99,97,43,114,148,62,76,119,48,41,91,40,38,68,49,72,108,39,36,78
Sydney Metro Contract 10,Concession,52410,51901,40911,39135,32552,22664,20293,27797,57600,39963,56326,37956,30316,55548,43456,44365,36305,23797,21669,28631,54722,43947,55106,36521,31509,53568,42985,42564,35617,22640,21070,29869,49185,39932
Sydney Metro Contract 10,Employee,,,,,,,,1,,,1,1,,,,,,,,,,,1,,3,731,1015,1053,1153,960,1065,1140,1294,1106
Sydney Metro Contract 10,Free Travel,966,1098,1269,1210,1301,1179,1044,1172,1279,1089,1301,1286,1277,1410,1167,1266,1354,1181,1269,1214,1329,1281,1506,1274,1418,1415,1333,1407,1396,1254,1324,1427,1576,1310
Sydney Metro Contract 10,School Student,65516,220189,164256,156004,201794,74117,11901,190970,217540,69168,207357,161561,79674,175969,116676,121705,150327,50669,11115,159157,173079,71504,209239,171633,90132,196846,169976,115333,188428,81812,12974,221342,241640,121919
Sydney Metro Contract 10,Senior/Pensioner,140185,153533,148814,147694,158957,149020,133586,142519,158437,137291,164910,149684,148574,154600,149073,150649,160252,146983,142394,146352,159962,144220,165518,144096,155130,161226,148872,154590,161383,149430,143674,151259,161145,148457
Sydney Metro Contract 10,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,
Sydney Metro Contract 10,Day Pass without SAF,,,,,,,,,,,,,,,3,1,,,,,1,6,6,12,2,6,,3,9,2,9,6,7,10
Sydney Metro Contract 12,Adult,83809,94998,90354,87087,96978,79486,79241,94574,108937,80438,109828,98774,97042,109737,98930,103227,109645,87144,88411,104102,112426,98133,119591,102444,106136,116446,104826,112918,118319,88956,98992,114156,122079,102741
Sydney Metro Contract 12,Adult Single Bus Trip 1,,1579,1257,1141,1010,1073,907,971,1219,1101,1125,1012,981,956,924,963,979,1018,987,773,840,844,822,613,742,644,625,694,588,649,787,699,732,658
Sydney Metro Contract 12,Adult Single Bus Trip 2,,585,512,392,395,417,357,296,402,357,336,371,318,339,323,293,304,371,315,240,304,218,290,193,272,243,299,311,350,265,266,307,418,300
Sydney Metro Contract 12,Adult Single Bus Trip 3,,45,28,25,25,33,18,20,18,20,22,27,29,22,15,28,14,34,34,21,23,16,18,10,20,16,17,22,22,9,13,8,18,17
Sydney Metro Contract 12,Child/Youth,25578,35205,32041,30911,33343,27406,23358,33771,35886,25978,34193,31537,30470,33980,32313,32349,33834,29411,27392,34237,33354,28990,33879,29888,31535,35003,31976,33850,34124,29404,30168,39108,37390,31662
Sydney Metro Contract 12,Child/Youth Single Bus Trip 1,,744,728,636,514,689,786,301,345,639,337,368,574,261,419,372,241,416,564,210,200,452,236,179,376,184,204,364,139,273,500,209,188,302
Sydney Metro Contract 12,Child/Youth Single Bus Trip 2,,339,381,273,196,284,316,116,177,296,141,181,248,113,215,155,111,241,263,98,105,201,77,96,195,115,113,187,96,150,213,130,142,176
Sydney Metro Contract 12,Child/Youth Single Bus Trip 3,,12,9,5,5,7,13,2,6,7,7,2,10,6,7,8,8,10,16,6,9,6,2,2,8,3,4,4,2,4,7,5,6,8
Sydney Metro Contract 12,Concession,14085,17429,13913,13563,11853,8367,7534,10246,19557,12675,18730,13540,11509,19157,14869,16317,13968,9148,8552,11291,19121,14629,19463,13652,12371,19963,15084,17533,14700,9902,9666,13774,21791,16909
Sydney Metro Contract 12,Employee,,,,,,1,,,,,,,,,,,,,,,,,,,,152,253,279,290,251,211,288,308,226
Sydney Metro Contract 12,Free Travel,142,297,270,279,281,211,246,339,386,279,396,384,351,405,414,434,451,343,287,414,496,374,517,487,519,680,540,570,605,416,419,537,526,409
Sydney Metro Contract 12,School Student,56735,152396,112543,105859,131423,52723,7842,129682,156230,50977,155764,127847,65495,150508,102286,105230,132684,50474,9971,133763,142250,57780,158401,135177,67530,157127,135961,89650,144925,64088,11665,159919,174666,87665
Sydney Metro Contract 12,Senior/Pensioner,32213,36664,36405,35199,36506,32540,29442,33773,37562,30956,38827,35336,35463,39133,36883,36717,39700,33369,31603,35356,38884,35011,41357,35503,37525,41561,37625,37645,40274,35695,34549,39946,41582,37795
Sydney Metro Contract 12,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,1
Sydney Metro Contract 13,Adult,263240,279834,263035,260152,281606,249621,237053,264926,313532,253071,322019,289933,297416,322635,303667,311883,325287,274887,278410,298716,343573,317485,359814,319022,340783,364258,338287,359647,370747,313951,317905,337601,372574,331765
Sydney Metro Contract 13,Adult Single Bus Trip 1,,14726,12937,11624,11667,11105,10406,10340,10674,9455,10259,8858,9592,9340,9057,9043,8852,8769,8599,8078,8995,8446,8210,7072,7698,7080,6789,7331,7168,6822,6861,6337,6722,6431
Sydney Metro Contract 13,Adult Single Bus Trip 2,,7782,6366,5537,5447,5209,4489,4807,5150,4186,4556,3742,3913,3608,3484,3772,3498,3350,3155,3094,3605,3245,3145,2913,3491,3065,2716,3108,2956,2707,2986,2525,2854,2648
Sydney Metro Contract 13,Adult Single Bus Trip 3,,1002,789,645,665,689,583,593,594,476,497,413,483,394,400,388,331,363,362,332,497,429,468,421,472,415,453,502,442,421,428,363,397,358
Sydney Metro Contract 13,Child/Youth,34179,42795,43742,44668,46828,43004,40909,47383,49575,43318,47184,40736,48826,43786,45551,45712,44733,41810,43488,47834,48849,45187,44943,40075,48304,45968,44039,49285,47665,43246,45193,51407,51777,46751
Sydney Metro Contract 13,Child/Youth Single Bus Trip 1,,5513,4617,3721,3192,3293,2925,1733,1916,2446,1851,1714,2608,1646,1994,1846,1518,1870,2117,1205,1330,1932,1259,1125,1856,1241,1200,1601,1223,1354,1592,998,1167,1433
Sydney Metro Contract 13,Child/Youth Single Bus Trip 2,,2753,2282,1778,1382,1833,1831,911,1022,1333,882,849,1328,795,1017,1054,743,1129,1213,647,772,1098,643,623,1081,682,564,807,604,727,924,537,572,811
Sydney Metro Contract 13,Child/Youth Single Bus Trip 3,,289,215,167,151,185,166,92,126,115,84,93,140,94,99,95,74,147,117,75,96,112,48,48,92,64,66,83,84,71,90,57,69,105
Sydney Metro Contract 13,Concession,76144,62938,51314,45393,43425,33870,31434,42662,75704,50139,68588,45985,48390,70389,54895,54121,48930,35108,32155,39543,72771,57767,71017,48191,47919,69393,55990,52069,49243,34703,32212,39800,66999,54317
Sydney Metro Contract 13,Employee,,,,,,1,,,,,,,,,,1,,,,1,1,,,2,,394,736,804,910,801,891,1079,1178,1090
Sydney Metro Contract 13,Free Travel,686,880,1048,1078,1154,1019,986,1090,1317,1066,1459,1294,1322,1342,1390,1553,1442,1365,1248,1251,1646,1433,1642,1529,1531,1601,1512,1436,1459,1442,1514,1580,1754,1495
Sydney Metro Contract 13,School Student,45215,136851,101113,98892,130477,51629,7339,118174,143882,48486,144221,118236,61170,131638,88885,91423,114782,40449,7441,112255,123560,51380,142399,117419,62197,135611,118535,78478,128969,59983,7522,136563,153841,78775
